Word,Count
accounted,9
task,9
imperial,9
hereafter,9
action,9
courage,9
hundreds,9
limbs,9
reasonable,9
withstand,9
sparkling,9
hum,9
rack,9
agent,9
square,9
watches,9
Perseus,9
soil,9
fury,9
office,9
sole,9
woods,9
violently,9
Who’s,9
kicked,9
jets,9
grounds,9
smaller,9
agree,9
system,9
detached,9
regard,9
particulars,9
rises,9
Octavo,9
recognised,9
clumsy,9
spirits,9
tower,9
lodged,9
intended,9
skies,9
reserved,9
dish,9
presumed,9
tumultuous,9
blinds,9
wont,9
mount,9
fowls,9
float,9
specific,9
tubs,9
depth,9
leagues,9
vivid,9
stretched,9
sad,9
associated,9
occasional,9
slow,9
easily,9
wing,9
rail,9
ropes,9
Town-Ho,9
strained,9
provide,9
spout-hole,9
crotch,9
links,9
Fleece,9
considerably,9
lid,9
rods,9
combined,9
trademark,9
THIS,8
OR,8
WHALE,8
Towards,8
Delight,8
domain,8
school,8
arched,8
fancied,8
generations,8
hopeless,8
tribe,8
path,8
“Now,8
swallow,8
crooked,8
monsters,8
Among,8
described,8
lowly,8
swims,8
pipes,8
Africa,8
it?”,8
consideration,8
pirates,8
blew,8
self,8
express,8
Cuvier,8
observing,8
stage,8
shrouds,8
moonlight,8
interesting,8
excited,8
weapon,8
weapons,8
shoal,8
largely,8
gathered,8
discover,8
eagerly,8
perpendicularly,8
damp,8
principle,8
street,8
China,8
peep,8
dive,8
desert,8
sleepy,8
mountains,8
Jove,8
conscious,8
salt,8
particularly,8
universal,8
pure,8
judgment,8
marvels,8
perceive,8
shirt,8
offer,8
bowsprit,8
sounded,8
conclude,8
miserable,8
houses,8
connexion,8
shaking,8
entry,8
masses,8
alas,8
unnatural,8
blasted,8
Time,8
glittering,8
sunset,8
needle,8
yon,8
ranged,8
bitter,8
settle,8
jack-knife,8
couldn’t,8
muffled,8
shipmate,8
concerned,8
brown,8
slipped,8
seeming,8
ought,8
chair,8
keeps,8
“Do,8
belongs,8
highest,8
respects,8
stark,8
wanted,8
stopped,8
wouldn’t,8
ye.”,8
belonging,8
containing,8
hurry,8
infernal,8
eagerness,8
squares,8
cannibals,8
tattooed,8
twisted,8
biscuit,8
daylight,8
sheets,8
awake,8
wrapped,8
daring,8
weeks,8
move,8
strove,8
slight,8
serious,8
operation,8
joke,8
backward,8
walk,8
timid,8
foreign,8
milk,8
beautiful,8
match,8
towed,8
yesterday,8
scarcely,8
hardy,8
headed,8
snowy,8
isle,8
foremost,8
authority,8
ordered,8
folded,8
hell,8
page,8
Joppa,8
lurks,8
worthy,8
cross,8
wrong,8
search,8
runs,8
thrice,8
coin,8
anguish,8
until,8
moon,8
motionless,8
hatches,8
raise,8
proud,8
popular,8
desire,8
sublime,8
intensity,8
phantoms,8
sensible,8
lurked,8
phrase,8
chat,8
mechanically,8
join,8
knees,8
rich,8
serene,8
High,8
flash,8
Captain’s,8
throne,8
intention,8
proceeds,8
